Date,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Food System Impact,All Food Security Categories,Event ID,Date Event Entered,Date Event Modified
5/6/2025,OPT,PSE,Gaza Strip,"31,46739826","34,40960417",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Artillery,Aid Systems,Incident Affecting People Seeking Food Aid,107471,10/7/2025,13/7/2025
5/6/2025,OPT,PSE,Gaza Strip,"31,30656849","34,24129544",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,Incident Affecting People Seeking Food Aid,107472,10/7/2025,11/7/2025
4/6/2025,OPT,PSE,Gaza Strip,"31,50450746","34,42189209",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107463,10/7/2025,13/7/2025
9/6/2025,OPT,PSE,Gaza Strip,"31,5168","34,4355",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Attack On a Market/Restaurant/Supermarket/Bakery, Access Constraints",105661,5/7/2025,5/7/2025
3/6/2025,OPT,PSE,Gaza Strip,"31,27414943","34,26944679",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,"Food Supply, Aid Systems, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Damage/Destruction Of Commercial Food Transport, Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107511,12/7/2025,17/7/2025
2/6/2025,OPT,PSE,Gaza Strip,"31,3098","34,2414",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,"Aid Systems, People Carrying Out Food Activity","Attack On Persons Carrying Out Food Activity, Attack On Distribution Site",105606,5/7/2025,13/7/2025
1/6/2025,OPT,PSE,Gaza Strip,"31,34190869","34,27813209",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107510,12/7/2025,14/7/2025
1/6/2025,OPT,PSE,Gaza Strip,"31,4560503","34,41244427",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107527,13/7/2025,13/7/2025
30/5/2025,OPT,PSE,Gaza Strip,"31,3181545","34,24060957",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,"Incident Affecting People Seeking Food Aid, Attack On Distribution Site",107526,13/7/2025,13/7/2025
7/6/2025,OPT,PSE,Gaza Strip,"31,3502","34,3081",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Aerial Bomb: Plane,Food Supply,"Violence Affecting Marketgoers, Attack On a Market/Restaurant/Supermarket/Bakery",105647,5/7/2025,5/7/2025
29/5/2025,OPT,PSE,Gaza Strip,"31,3084659","34,2865698",(2) 25 km precision,Host Government: Military,Israeli Defence Forces,Firearms,Aid Systems,Attack On Distribution Site,110124,22/7/2025,29/7/2025
28/5/2025,OPT,PSE,Gaza Strip,"31,51666667","34,45","(3) District, Municipality or Commune",Host Government: Military,Israeli Defence Forces,Aerial Bomb: Drone,Aid Systems,"Disruption Of Aid, Attack On Aid Workers Carrying Out Food-Related Programme",110117,22/7/2025,22/9/2025
